"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","118","should display offer placeholder on init","<Offer />","Thu May 15 12:56:25 UTC 2025","passed","Thu May 15 12:56:25 UTC 2025","","","",""
"","3","useCategoryId(TELECHARGEMENT_LIVRE_AUDIO) = LIVRE","useCategoryId","Thu May 15 12:55:59 UTC 2025","passed","Thu May 15 12:55:59 UTC 2025","","","",""
"","85","should log event deeplinkEnableLocation when press on ""Activer la géolocalisation""","GeolocationActivationModal","Thu May 15 12:57:09 UTC 2025","passed","Thu May 15 12:57:09 UTC 2025","","","",""
"","8","should return text in italic style when part is italic and not bold","MarkdownPart","Thu May 15 12:57:57 UTC 2025","passed","Thu May 15 12:57:57 UTC 2025","","","",""
"","2","should not log event when logScreenView is called","analyticsProvider - logEvent","Thu May 15 12:56:44 UTC 2025","passed","Thu May 15 12:56:44 UTC 2025","","with amplitude","",""
"","355","should display desktop body on desktop","<OfferContent />","Thu May 15 12:55:53 UTC 2025","passed","Thu May 15 12:55:54 UTC 2025","","","",""
"","167","should log analytics on press","SignupBanner","Thu May 15 12:57:55 UTC 2025","passed","Thu May 15 12:57:55 UTC 2025","","","",""
"","83","should not display see map button when user location mode is around place and there is a venues playlist","<SearchListHeader />","Thu May 15 12:55:59 UTC 2025","passed","Thu May 15 12:55:59 UTC 2025","","When wipVenueMap feature flag activated","",""
"","945","should not have basic accessibility issues","<ConfirmChangeEmail />","Thu May 15 12:57:12 UTC 2025","passed","Thu May 15 12:57:13 UTC 2025","","Accessibility","",""
"","2","should throw error if status is not ok","[api] helpers","Thu May 15 12:55:38 UTC 2025","passed","Thu May 15 12:55:38 UTC 2025","","handleGeneratedApiResponse","",""
"","148","should not display description section when no description provided","PracticalInformation","Thu May 15 12:56:15 UTC 2025","passed","Thu May 15 12:56:15 UTC 2025","","","",""
"","303","should match snapshot","<DeleteProfileReason />","Thu May 15 12:56:39 UTC 2025","passed","Thu May 15 12:56:40 UTC 2025","","","",""
"","1","should return the correct number of activated filters | fourFilters","useFilterCount","Thu May 15 12:56:36 UTC 2025","passed","Thu May 15 12:56:36 UTC 2025","","","",""
"","2","useSubcategory(CONCERT) = { isEvent: true, categoryId: MUSIQUE_LIVE, searchGroupName: CONCERTS_FESTIVALS }","useSubcategory","Thu May 15 12:55:49 UTC 2025","passed","Thu May 15 12:55:49 UTC 2025","","","",""
"","2","must have a minimum of 12 character length","passwordSchema","Thu May 15 12:57:42 UTC 2025","passed","Thu May 15 12:57:42 UTC 2025","","invalid","",""
"","237","should display the number of results","<SearchListHeader />","Thu May 15 12:55:45 UTC 2025","passed","Thu May 15 12:55:45 UTC 2025","","When feature flags deactivated","",""
"","58","should display the NonBeneficiaryHeader Header if user is eligible exunderage beneficiary","ProfileHeader","Thu May 15 12:56:22 UTC 2025","passed","Thu May 15 12:56:22 UTC 2025","","","",""
"","14","should return ""50€"" when 17 years old","useGetDepositAmountsByAge","Thu May 15 12:57:05 UTC 2025","passed","Thu May 15 12:57:05 UTC 2025","","","",""
"","92","can be checked with label","<Checkbox />","Thu May 15 12:55:45 UTC 2025","passed","Thu May 15 12:55:45 UTC 2025","","","",""
"","4","log share app on share with type BENEFICIARY","useShareAppModalViewmodel","Thu May 15 12:56:38 UTC 2025","passed","Thu May 15 12:56:38 UTC 2025","","share","",""
"","52","when native category associated to the most popular category","AutocompleteOfferItem component","Thu May 15 12:55:44 UTC 2025","passed","Thu May 15 12:55:44 UTC 2025","should not display the most popular category of the query suggestion","when item is in the first three suggestions","",""
"","2","should return empty string when there is an error","getCodePushId","Thu May 15 12:58:03 UTC 2025","passed","Thu May 15 12:58:03 UTC 2025","","","",""
"","149","should display Dates in button filter","SearchResultsContent component","Thu May 15 12:56:12 UTC 2025","passed","Thu May 15 12:56:12 UTC 2025","","When calendar filter feature flag activated","",""
"","419","should not have basic accessibility issues","<GenericOfficialPage />","Thu May 15 12:57:59 UTC 2025","passed","Thu May 15 12:57:59 UTC 2025","","Accessibility","",""
"","352","should render 0 items and 0 separators","accessibilityList","Thu May 15 12:58:08 UTC 2025","passed","Thu May 15 12:58:08 UTC 2025","","","",""
"","47","should set default event parameters to null when the campaign date started more than 24 hours ago","useInit","Thu May 15 12:57:08 UTC 2025","passed","Thu May 15 12:57:08 UTC 2025","","","",""
"","1","useCategoryId(ESCAPE_GAME) = JEU","useCategoryId","Thu May 15 12:55:58 UTC 2025","passed","Thu May 15 12:55:58 UTC 2025","","","",""
"","1","should reject a well formated email: domain.com","isEmailValid function","Thu May 15 12:58:08 UTC 2025","passed","Thu May 15 12:58:08 UTC 2025","","","",""
"","39","doesn't change the checked state when doesn't having the focus","<Checkbox />","Thu May 15 12:55:45 UTC 2025","passed","Thu May 15 12:55:45 UTC 2025","","when pressing space","",""
"","2","should have correct text Ouvert jusqu’à 19h30","OpeningHoursStatusViewModel","Thu May 15 12:55:39 UTC 2025","passed","Thu May 15 12:55:39 UTC 2025","","Venue is open","",""
"","130","should render basic icons + optional icons","<OfferHeader />","Thu May 15 12:56:30 UTC 2025","passed","Thu May 15 12:56:31 UTC 2025","","","",""
"","5","should return true when shouldBeDisplayed is true and body defined","isSectionWithBody","Thu May 15 12:58:08 UTC 2025","passed","Thu May 15 12:58:08 UTC 2025","","","",""
"","9","should accept a well formated phone number: 0696010203","isValidFrenchPhoneNumber function","Thu May 15 12:57:31 UTC 2025","passed","Thu May 15 12:57:31 UTC 2025","","","",""
"","287","should render correctly","SuspendAccountConfirmationWithoutAuthentication","Thu May 15 12:56:59 UTC 2025","passed","Thu May 15 12:56:59 UTC 2025","","","",""
"","173","should navigate to Age Information when tutorial row is clicked, user is logged in","Profile component","Thu May 15 12:55:54 UTC 2025","passed","Thu May 15 12:55:54 UTC 2025","","help section","",""
"","34","should keep enable the button ""Continuer"" when the date is selected and is different from the current date","<DatePickerSpinner />","Thu May 15 12:57:50 UTC 2025","passed","Thu May 15 12:57:50 UTC 2025","","- navigation -","",""
"","1","should return location type and the name of the place in a string when type is PLACE","[Analytics utils]","Thu May 15 12:55:39 UTC 2025","passed","Thu May 15 12:55:39 UTC 2025","","buildLocationFilterParam","",""
"","5","should handle SELECT_STOCK and RESET_STOCK","Book Offer reducer","Thu May 15 12:58:03 UTC 2025","passed","Thu May 15 12:58:03 UTC 2025","","","",""
"","2","should fetch with all given search parameters","fetchOffer","Thu May 15 12:55:40 UTC 2025","passed","Thu May 15 12:55:40 UTC 2025","","multiple parameters","",""
"","47","should return history less than 30 days","getHistoryLessThan30Days","Thu May 15 12:57:43 UTC 2025","passed","Thu May 15 12:57:44 UTC 2025","","","",""
"","707","should not have basic accessibility issues","DisplayPreference","Thu May 15 12:58:11 UTC 2025","passed","Thu May 15 12:58:11 UTC 2025","","","",""
"","18","should convey animatedValue to AnimatedIcon","RoundedButton","Thu May 15 12:56:44 UTC 2025","passed","Thu May 15 12:56:44 UTC 2025","","AnimatedIcon","",""
"","248","should allow selecting a subset of data","useGetGTLPlaylistConfigQuery","Thu May 15 12:57:14 UTC 2025","passed","Thu May 15 12:57:14 UTC 2025","","","",""
"","10","should adapt from Contentful VenueMapBlock data","adaptVenueMapModule","Thu May 15 12:58:15 UTC 2025","passed","Thu May 15 12:58:15 UTC 2025","","","",""
"","8","should accept a well formatted name: Martin king, Jr.","isNameValid function","Thu May 15 12:57:52 UTC 2025","passed","Thu May 15 12:57:52 UTC 2025","","","",""
"","2","should retrieve the playlist tagged only master if playlist tagged usergrandpublic does not exist","useSelectHomepageEntry","Thu May 15 12:55:41 UTC 2025","passed","Thu May 15 12:55:41 UTC 2025","beneficiary users","default home entry when no remote config available","",""
"","5","should toggle a filter correctly (remove filter)","useVenueMapFilters","Thu May 15 12:57:15 UTC 2025","passed","Thu May 15 12:57:15 UTC 2025","","","",""
"","1","should accept a well formated phone number: +33601020304","isValidFrenchPhoneNumber function","Thu May 15 12:57:31 UTC 2025","passed","Thu May 15 12:57:31 UTC 2025","","","",""
"","2","should parse nested text with different styles","parseMarkdown","Thu May 15 12:56:58 UTC 2025","passed","Thu May 15 12:56:58 UTC 2025","","","",""
"","273","should display introduction when introduction title and paragraph are provided","HighlightThematicHomeHeader","Thu May 15 12:57:33 UTC 2025","passed","Thu May 15 12:57:33 UTC 2025","","","",""
"","2","should return Télécharger l’application when subcategory id is APP_CULTURELLE","getFreeDigitalOfferBookingWording","Thu May 15 12:57:50 UTC 2025","passed","Thu May 15 12:57:50 UTC 2025","","","",""
"","37","should not render dots when there is only one image","<ImagesCarousel />","Thu May 15 12:57:56 UTC 2025","passed","Thu May 15 12:57:56 UTC 2025","","","",""
"","200","should call logSelectAge","OnboardingAgeSelectionFork","Thu May 15 12:57:14 UTC 2025","passed","Thu May 15 12:57:15 UTC 2025","","","",""
"","1","useCategoryId(CARTE_JEUNES) = CARTE_JEUNES","useCategoryId","Thu May 15 12:55:58 UTC 2025","passed","Thu May 15 12:55:58 UTC 2025","","","",""
"","32","should display Voir plus button when the text ends with an ellipsis (onLayout, then onTextLayout)","CollapsibleTextContent","Thu May 15 12:56:29 UTC 2025","passed","Thu May 15 12:56:29 UTC 2025","","","",""
"","4","If credit is enough, only iOS user cannot book on Thing type offers | true => Voir les disponibilités - digital offers","getCtaWordingAndAction","Thu May 15 12:55:46 UTC 2025","passed","Thu May 15 12:55:46 UTC 2025","","Beneficiary user","",""
"","325","should not display tag on offer image when enableOfferPreview feature flag activated","<OfferContent />","Thu May 15 12:55:54 UTC 2025","passed","Thu May 15 12:55:55 UTC 2025","","","",""
"","1","should return 0 if from is before to","getPastScrollRange","Thu May 15 12:57:52 UTC 2025","passed","Thu May 15 12:57:52 UTC 2025","","","",""
"","502","should not display the button if the remote config flag is deactivated","<OfferContent />","Thu May 15 12:56:17 UTC 2025","passed","Thu May 15 12:56:18 UTC 2025","with remote config deactivated","movie screening access button","",""
